time,T_gasOut.T,T_waterOut.T,T_gasIn.T,T_waterIn.T,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow,T_gasOut.inlet.m_flow,T_gasIn.inlet.m_flow
350,369.444,345.179,376.373,302.06,0.08543,0.0841673,-3.62E-13,0
350,369.444,345.179,376.373,302.06,0.08543,0.0841673,-3.62E-13,0
351,369.444,344.859,376.373,302.06,0.08543,0.0841738,-3.64E-13,0
351,369.444,344.859,376.373,302.06,0.08543,0.0841738,-3.64E-13,0
355,369.444,343.591,376.373,302.06,0.08543,0.084202,-3.72E-13,0
355,369.444,343.591,376.373,302.06,0.08543,0.084202,-3.72E-13,0
356,369.444,343.278,376.373,302.06,0.08543,0.0842091,-3.74E-13,0
356,369.444,343.278,376.373,302.06,0.08543,0.0842091,-3.74E-13,0
360,369.444,342.038,376.373,302.06,0.08543,0.0842391,-3.81E-13,0
360,369.444,342.038,376.373,302.06,0.08543,0.0842391,-3.81E-13,0
361,369.444,341.732,376.373,302.06,0.08543,0.0842467,-3.83E-13,0
361,369.444,341.732,376.373,302.06,0.08543,0.0842467,-3.83E-13,0
365,369.444,340.527,376.373,302.06,0.08543,0.0842783,-3.90E-13,0
365,369.444,340.527,376.373,302.06,0.08543,0.0842783,-3.90E-13,0
366,369.444,340.231,376.373,302.06,0.08543,0.0842862,-3.92E-13,0
366,369.444,340.231,376.373,302.06,0.08543,0.0842862,-3.92E-13,0
370,369.444,339.068,376.373,302.06,0.08543,0.0843193,-3.99E-13,0
370,369.444,339.068,376.373,302.06,0.08543,0.0843193,-3.99E-13,0
371,369.444,338.782,376.373,302.06,0.08543,0.0843276,-4.00E-13,0
371,369.444,338.782,376.373,302.06,0.08543,0.0843276,-4.00E-13,0
375,369.444,337.665,376.373,302.06,0.08543,0.0843618,-4.07E-13,0
375,369.444,337.665,376.373,302.06,0.08543,0.0843618,-4.07E-13,0
376,369.444,337.392,376.373,302.06,0.08543,0.0843704,-4.08E-13,0
376,369.444,337.392,376.373,302.06,0.08543,0.0843704,-4.08E-13,0
380,369.444,336.323,376.373,302.06,0.08543,0.0844056,-4.15E-13,0
380,369.444,336.323,376.373,302.06,0.08543,0.0844056,-4.15E-13,0
381,369.444,336.062,376.373,302.06,0.08543,0.0844143,-4.16E-13,0
381,369.444,336.062,376.373,302.06,0.08543,0.0844143,-4.16E-13,0
385,369.444,335.044,376.373,302.06,0.08543,0.0844501,-4.22E-13,0
385,369.444,335.044,376.373,302.06,0.08543,0.0844501,-4.22E-13,0
386,369.444,334.796,376.373,302.06,0.08543,0.084459,-4.24E-13,0
386,369.444,334.796,376.373,302.06,0.08543,0.084459,-4.24E-13,0
390,369.444,333.827,376.373,302.06,0.08543,0.084495,-4.30E-13,0
390,369.444,333.827,376.373,302.06,0.08543,0.084495,-4.30E-13,0
391,369.444,333.591,376.373,302.06,0.08543,0.0845039,-4.31E-13,0
391,369.444,333.591,376.373,302.06,0.08543,0.0845039,-4.31E-13,0
395,369.444,332.67,376.373,302.06,0.08543,0.0845398,-4.36E-13,0
395,369.444,332.67,376.373,302.06,0.08543,0.0845398,-4.36E-13,0
396,369.444,332.445,376.373,302.06,0.08543,0.0845487,-4.38E-13,0
396,369.444,332.445,376.373,302.06,0.08543,0.0845487,-4.38E-13,0
400,369.444,331.569,376.373,302.06,0.08543,0.0845842,-4.43E-13,0
400,369.444,331.569,376.373,302.06,0.08543,0.0845842,-4.43E-13,0
401,369.444,331.355,376.373,302.06,0.08543,0.0845929,-4.44E-13,0
401,369.444,331.355,376.373,302.06,0.08543,0.0845929,-4.44E-13,0
405,369.444,330.521,376.373,302.06,0.08543,0.0846274,-4.49E-13,0
405,369.444,330.521,376.373,302.06,0.08543,0.0846274,-4.49E-13,0
406,369.444,330.317,376.373,302.06,0.08543,0.084636,-4.50E-13,0
406,369.444,330.317,376.373,302.06,0.08543,0.084636,-4.50E-13,0
410,369.444,329.521,376.373,302.06,0.08543,0.0846697,-4.55E-13,0
410,369.444,329.521,376.373,302.06,0.08543,0.0846697,-4.55E-13,0
411,369.444,329.327,376.373,302.06,0.08543,0.0846779,-4.56E-13,0
411,369.444,329.327,376.373,302.06,0.08543,0.0846779,-4.56E-13,0
415,369.444,328.566,376.373,302.06,0.08543,0.0847104,-4.61E-13,0
415,369.444,328.566,376.373,302.06,0.08543,0.0847104,-4.61E-13,0
416,369.444,328.381,376.373,302.06,0.08543,0.0847183,-4.62E-13,0
416,369.444,328.381,376.373,302.06,0.08543,0.0847183,-4.62E-13,0
420,369.444,327.653,376.373,302.06,0.08543,0.0847494,-4.66E-13,0
420,369.444,327.653,376.373,302.06,0.08543,0.0847494,-4.66E-13,0
421,369.444,327.475,376.373,302.06,0.08543,0.084757,-4.68E-13,0
421,369.444,327.475,376.373,302.06,0.08543,0.084757,-4.68E-13,0
